sample_id,mask_coverage,M_mean,mean_abs_change_init
00000,0.00337,0.047785,0.002444
00011,0.003537,0.048495,0.002508
00025,0.002084,0.040907,0.002932
00031,0.002351,0.042508,0.00297
00033,0.003555,0.04671,0.002406
00042,0.002322,0.046931,0.003258
00061,0.002069,0.038566,0.002366
00071,0.002104,0.038483,0.002437
00082,0.00268,0.04356,0.003128
00097,0.001896,0.040462,0.004161
00107,0.00274,0.047997,0.002772
00112,0.003602,0.048639,0.003112
00118,0.003456,0.047545,0.003168
00147,0.002544,0.046385,0.002836
00149,0.00258,0.044721,0.002388
00150,0.002391,0.046707,0.002345
00159,0.002071,0.041071,0.002133
00177,0.002227,0.045669,0.002287
00196,0.00259,0.061472,0.003102
00202,0.002159,0.048919,0.003198
00210,0.001968,0.03783,0.002347
00215,0.002288,0.042636,0.002629
00232,0.002143,0.040227,0.002608
00242,0.002314,0.037055,0.002772
00255,0.001364,0.036922,0.002245
00274,0.001546,0.03563,0.002415
00284,0.001541,0.032793,0.002158
00290,0.001521,0.037708,0.002541
00306,0.001547,0.03602,0.002545
00320,0.00131,0.036697,0.002272
00325,0.001948,0.026348,0.003298
00334,0.00213,0.028802,0.002637
00339,0.002111,0.025551,0.001739
00349,0.001968,0.036307,0.003639
00353,0.001914,0.036692,0.00369
00370,0.00192,0.037843,0.003714
00385,0.001911,0.036076,0.003604
00386,0.003521,0.036984,0.001721
00388,0.002907,0.030897,0.002808
00389,0.002383,0.033107,0.002281
00390,0.002265,0.03379,0.0019
00400,0.002965,0.03598,0.001439
00405,0.003618,0.037712,0.001591
00409,0.002007,0.033593,0.00162
00419,0.002143,0.028954,0.001635
00421,0.001945,0.03458,0.002084
00434,0.001882,0.033287,0.001696
00441,0.002186,0.029269,0.001407
00443,0.002066,0.026474,0.002047
00449,0.00215,0.028813,0.001344
00453,0.002026,0.031423,0.001747
00461,0.002036,0.03125,0.00208
00479,0.002005,0.033365,0.001546
00489,0.002131,0.027544,0.00167
00497,0.002244,0.031242,0.001643
00512,0.002035,0.041248,0.001605
00525,0.002111,0.035787,0.001506
00527,0.002082,0.036483,0.001888
00537,0.002393,0.0317,0.001419
00555,0.002571,0.033628,0.001533
00572,0.002082,0.030197,0.001448
00587,0.002004,0.025915,0.002267
00606,0.001911,0.02673,0.002272
00621,0.001773,0.025048,0.001998
00633,0.001892,0.028418,0.001307
00643,0.002075,0.027213,0.002063
00652,0.002029,0.026149,0.001593
00653,0.003155,0.029636,0.001368
00661,0.002416,0.027417,0.00144
00671,0.002054,0.028105,0.001263
00676,0.002429,0.03025,0.00146
00677,0.0029,0.031662,0.00146
00687,0.002942,0.031567,0.001594
00697,0.002805,0.028681,0.001309
00712,0.001952,0.035363,0.003474
00716,0.001835,0.03503,0.003294
00719,0.006112,0.096728,0.005742
00725,0.005768,0.093987,0.005355
00726,0.006204,0.095408,0.005461
00738,0.00323,0.067969,0.004309
00760,0.002298,0.059003,0.00332
00762,0.002495,0.063525,0.003336
00769,0.002566,0.06039,0.003351
00787,0.00237,0.03906,0.003468
00800,0.002514,0.045057,0.004649
00801,0.001705,0.05359,0.003553
00805,0.001638,0.045032,0.002965
00818,0.001633,0.046308,0.002981
00825,0.00207,0.031944,0.001749
00826,0.002074,0.032963,0.00201
00829,0.002107,0.0323,0.001943
00834,0.002196,0.03193,0.002
00857,0.002127,0.029558,0.002343
00867,0.001804,0.0581,0.003391
00871,0.001771,0.05845,0.003288
00878,0.001776,0.057411,0.003257
00896,0.002234,0.04291,0.004151
00910,0.00224,0.043547,0.004078
00916,0.002421,0.043472,0.004155
00922,0.00244,0.041434,0.003988
00926,0.00192,0.043092,0.003808
