method,n,EN,SF,AG,MI,QABF,VIF
S4Fusion (official weights),300,6.8926,14.9241,8.4926,4.3364,0.5147,0.4628
MetaFusion,300,7.2607,13.7397,8.2228,2.2953,0.2189,0.2842
CDDFuse,300,6.8996,14.7758,8.3311,3.7648,0.4008,0.3884
EMMA,300,6.9242,15.2273,9.0133,3.7391,0.3405,0.3770
DCEvo,300,6.8301,13.7861,7.6131,4.2834,0.4410,0.3930
W-Mamba,300,6.7083,11.8793,6.6574,4.8307,0.3532,0.3645
Diff-IF,300,6.7904,14.1008,7.9352,5.1704,0.4345,0.3973
FusionMamba,300,6.6103,11.3349,6.2939,3.3033,0.2296,0.3178
S4Fusion (same-budget retrain),300,6.8733,14.8933,8.6801,3.2078,0.5295,0.4535
CGA (ours),300,6.8863,14.7672,8.5173,3.9345,0.5449,0.4622
