dataset,sample_id,width,height,seconds,inference_mode,fused_path,rgb_path,EN,SF,AG,MI_IR,MI_VI,MI,QABF
m3fd,00000,1024,768,11.255500063,native_padded,results/h5/shuffle/m3fd/00000.png,results/h5/shuffle/m3fd/00000_rgb.png,6.893245077832953,16.80090665237513,9.579987525939941,0.820906794285915,2.9711504032909484,3.792057197576863,0.5883600122332494
m3fd,00011,1024,768,0.8632341480006289,native_padded,results/h5/shuffle/m3fd/00011.png,results/h5/shuffle/m3fd/00011_rgb.png,6.837798101690765,16.786952406137832,9.528556823730469,0.7851072655510956,2.8759838297132614,3.661091095264357,0.5860598691906713
m3fd,00025,1024,768,0.7193353009997736,native_padded,results/h5/shuffle/m3fd/00025.png,results/h5/shuffle/m3fd/00025_rgb.png,6.400295828478414,12.48651158774364,6.240995407104492,0.9071873474956348,3.050265264023127,3.957452611518762,0.5540462262936687
m3fd,00031,1024,768,0.7196667660000458,native_padded,results/h5/shuffle/m3fd/00031.png,results/h5/shuffle/m3fd/00031_rgb.png,6.574281822964789,13.042627415863953,6.4149298667907715,0.9317462542495036,3.1565702921455623,4.088316546395066,0.5537495881118208
m3fd,00033,1024,768,0.7224827320005716,native_padded,results/h5/shuffle/m3fd/00033.png,results/h5/shuffle/m3fd/00033_rgb.png,6.863995158293925,16.71438132912643,9.289998054504395,0.8088092887802143,2.8360236918329447,3.6448329806131587,0.5859847487005772
m3fd,00042,1024,768,0.7266011290003007,native_padded,results/h5/shuffle/m3fd/00042.png,results/h5/shuffle/m3fd/00042_rgb.png,6.438368230558787,14.342109991070327,7.1094818115234375,0.8270503935094362,3.300758528992687,4.1278089225021235,0.5629734709856319
m3fd,00061,1024,768,0.7233579359999567,native_padded,results/h5/shuffle/m3fd/00061.png,results/h5/shuffle/m3fd/00061_rgb.png,6.596175710044992,12.895331497216489,5.917234897613525,1.1052409119279039,3.075244364944368,4.180485276872272,0.5782159734584594
m3fd,00071,1024,768,0.7210233249998055,native_padded,results/h5/shuffle/m3fd/00071.png,results/h5/shuffle/m3fd/00071_rgb.png,6.509098772700265,12.470111575561376,5.604847431182861,1.1188389887844594,3.1968179313138325,4.3156569200982915,0.5963684093556648
m3fd,00082,1024,768,0.7220835389998683,native_padded,results/h5/shuffle/m3fd/00082.png,results/h5/shuffle/m3fd/00082_rgb.png,6.677383622790483,12.204715118398246,7.016923427581787,0.4402910988058881,3.4128636722079015,3.8531547710137897,0.5484382879899783
m3fd,00097,1024,768,0.7193154059996232,native_padded,results/h5/shuffle/m3fd/00097.png,results/h5/shuffle/m3fd/00097_rgb.png,6.111545267416021,10.511786769587713,5.635680675506592,0.6513930395350787,3.213066183255284,3.8644592227903622,0.5507502279046353
m3fd,00107,1024,768,0.7257330869997531,native_padded,results/h5/shuffle/m3fd/00107.png,results/h5/shuffle/m3fd/00107_rgb.png,6.819674482638586,14.229053295099718,8.229362487792969,0.448727928721815,3.5379127189220645,3.9866406476438794,0.5766727638405174
m3fd,00112,1024,768,0.7230152740003177,native_padded,results/h5/shuffle/m3fd/00112.png,results/h5/shuffle/m3fd/00112_rgb.png,6.573044498317098,13.92690005340659,7.706717014312744,0.5575627944705348,3.54209385964573,4.099656654116265,0.5701418057230682
m3fd,00118,1024,768,0.724050793999595,native_padded,results/h5/shuffle/m3fd/00118.png,results/h5/shuffle/m3fd/00118_rgb.png,6.493373549210287,14.412121871752056,7.829893589019775,0.5503017688067616,2.993459373641331,3.5437611424480924,0.570305902013813
m3fd,00147,1024,768,0.7214005739997447,native_padded,results/h5/shuffle/m3fd/00147.png,results/h5/shuffle/m3fd/00147_rgb.png,6.706489478534043,14.505197164957947,7.440534591674805,0.7141314849156057,3.3847241920063436,4.098855676921949,0.5869197548486408
m3fd,00149,1024,768,0.7226413090002097,native_padded,results/h5/shuffle/m3fd/00149.png,results/h5/shuffle/m3fd/00149_rgb.png,6.851858672142903,14.890540558051336,8.600848197937012,0.859655179267448,2.95964962302487,3.819304802292318,0.5879021387627941
m3fd,00150,1024,768,0.7248865940000542,native_padded,results/h5/shuffle/m3fd/00150.png,results/h5/shuffle/m3fd/00150_rgb.png,6.851484073682636,15.34725346674033,9.020602226257324,0.7383880993381439,3.330772269709022,4.069160369047165,0.5914524455979145
m3fd,00159,1024,768,0.7250280339994788,native_padded,results/h5/shuffle/m3fd/00159.png,results/h5/shuffle/m3fd/00159_rgb.png,6.66199666428761,13.055945719870952,7.758999347686768,0.7316014158810322,3.330489127740167,4.062090543621199,0.5659688899473224
m3fd,00177,1024,768,0.7242840950002574,native_padded,results/h5/shuffle/m3fd/00177.png,results/h5/shuffle/m3fd/00177_rgb.png,6.921169054824486,14.766268427592491,9.20818042755127,0.634115744057292,3.5196920715430347,4.153807815600326,0.5946317842154876
m3fd,00196,1024,768,0.7246060639999996,native_padded,results/h5/shuffle/m3fd/00196.png,results/h5/shuffle/m3fd/00196_rgb.png,6.8394234300412045,17.23612521506963,10.68939208984375,0.49042585578420667,4.150422208044821,4.6408480638290275,0.6329755844630663
m3fd,00202,1024,768,0.723787543999606,native_padded,results/h5/shuffle/m3fd/00202.png,results/h5/shuffle/m3fd/00202_rgb.png,6.691539429244225,13.932355624622184,8.125808715820312,0.7098044907499581,3.6566312025034677,4.366435693253425,0.5911084639068799
m3fd,00210,1024,768,0.7207996569995885,native_padded,results/h5/shuffle/m3fd/00210.png,results/h5/shuffle/m3fd/00210_rgb.png,6.636212812511479,13.411323460812683,7.462571620941162,0.7432126607800966,3.139480512922924,3.8826931737030206,0.5512105479191629
m3fd,00215,1024,768,0.730496664000384,native_padded,results/h5/shuffle/m3fd/00215.png,results/h5/shuffle/m3fd/00215_rgb.png,6.700258442794349,13.583741010408472,7.662542343139648,0.6592138648820148,3.4232109809920455,4.08242484587406,0.5521173052784545
m3fd,00232,1024,768,0.7240198370000144,native_padded,results/h5/shuffle/m3fd/00232.png,results/h5/shuffle/m3fd/00232_rgb.png,6.548180826595802,12.387067917007741,7.122761249542236,0.6271068671737977,3.057320054337403,3.6844269215112004,0.5561361812628255
m3fd,00242,1024,768,0.7227848559996346,native_padded,results/h5/shuffle/m3fd/00242.png,results/h5/shuffle/m3fd/00242_rgb.png,6.6074186922298965,11.17935453558719,5.777024269104004,0.7923034023167316,2.775774089100596,3.5680774914173274,0.527891808626683
