dataset,sample_id,width,height,seconds,inference_mode,fused_path,rgb_path,EN,SF,AG,MI_IR,MI_VI,MI,QABF
m3fd,00000,1024,768,3.3649605059999885,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00000.png,results/h5_str/none/m3fd/m3fd/00000_rgb.png,6.926983892746438,16.859312722453275,9.625585556030273,0.8332989270744299,2.769576589615431,3.6028755166898607,0.604630758009584
m3fd,00011,1024,768,2.3514104329999554,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00011.png,results/h5_str/none/m3fd/m3fd/00011_rgb.png,6.868302518593508,16.826199441373056,9.569453239440918,0.7982026059052012,2.661250139410624,3.459452745315825,0.6022146880807744
m3fd,00025,1024,768,2.3199934659999144,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00025.png,results/h5_str/none/m3fd/m3fd/00025_rgb.png,6.411639585018539,12.521081764464773,6.341540336608887,0.906590417886562,2.745297436516087,3.6518878544026494,0.5677126299262545
m3fd,00031,1024,768,2.3301416790000076,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00031.png,results/h5_str/none/m3fd/m3fd/00031_rgb.png,6.590658277503362,13.0817143249981,6.504709243774414,0.9608982990565745,2.978623535148136,3.9395218342047102,0.5673326053457353
m3fd,00033,1024,768,2.359566966999978,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00033.png,results/h5_str/none/m3fd/m3fd/00033_rgb.png,6.883393356454784,16.72745502179248,9.344072341918945,0.8124319446818064,2.620937666826696,3.4333696115085024,0.5998716049469011
m3fd,00042,1024,768,2.289697574999991,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00042.png,results/h5_str/none/m3fd/m3fd/00042_rgb.png,6.50419294357422,14.450403127924664,7.231376647949219,0.8577771420831104,3.0598327599356367,3.9176099020187474,0.5802587450167784
m3fd,00061,1024,768,2.343059632999939,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00061.png,results/h5_str/none/m3fd/m3fd/00061_rgb.png,6.611265490034568,12.873746411047787,5.926932334899902,1.1248711399420896,3.0669856389169254,4.191856778859015,0.5926122763586416
m3fd,00071,1024,768,2.2907813420000593,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00071.png,results/h5_str/none/m3fd/m3fd/00071_rgb.png,6.519231484064921,12.448531001941957,5.604122161865234,1.1404702465712533,3.317847463702334,4.458317710273587,0.6047260459638852
m3fd,00082,1024,768,2.3705077140000412,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00082.png,results/h5_str/none/m3fd/m3fd/00082_rgb.png,6.667483501510584,12.257640235607742,7.229007244110107,0.44880355382466536,2.7243817211664996,3.173185274991165,0.5611436252788531
m3fd,00097,1024,768,2.355133505000026,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00097.png,results/h5_str/none/m3fd/m3fd/00097_rgb.png,6.143404550994557,10.559204641222946,5.80728816986084,0.6322024315018974,2.8455413603898982,3.4777437918917955,0.5639456920888952
m3fd,00107,1024,768,2.265896765999969,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00107.png,results/h5_str/none/m3fd/m3fd/00107_rgb.png,6.82796017989679,14.251981503201122,8.421296119689941,0.45814090771278304,2.961029106460509,3.419170014173292,0.5874399280270417
m3fd,00112,1024,768,2.3481046839999635,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00112.png,results/h5_str/none/m3fd/m3fd/00112_rgb.png,6.6120848848633775,13.97830212293621,7.806012153625488,0.5872743468618353,3.276218865316888,3.8634932121787235,0.5829962572268155
m3fd,00118,1024,768,2.300882205999983,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00118.png,results/h5_str/none/m3fd/m3fd/00118_rgb.png,6.528569532247579,14.513626970809195,7.912657737731934,0.5587890778578067,2.72737592207335,3.286164999931157,0.5848739110847201
m3fd,00147,1024,768,2.347068158999946,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00147.png,results/h5_str/none/m3fd/m3fd/00147_rgb.png,6.717704460412525,14.545373374379093,7.531954765319824,0.7254707024407332,3.2462249868233553,3.9716956892640884,0.5965377054016019
m3fd,00149,1024,768,2.354737835999913,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00149.png,results/h5_str/none/m3fd/m3fd/00149_rgb.png,6.898474704462895,14.854829051338756,8.614524841308594,0.9135750285977597,2.977336053982294,3.890911082580054,0.60642480519593
m3fd,00150,1024,768,2.350021197999922,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00150.png,results/h5_str/none/m3fd/m3fd/00150_rgb.png,6.896695844163229,15.370444806688184,9.071542739868164,0.8123478592801119,3.2449348959769533,4.057282755257065,0.6098334975702142
m3fd,00159,1024,768,2.353579350000018,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00159.png,results/h5_str/none/m3fd/m3fd/00159_rgb.png,6.709552506335118,13.107075356024895,7.809275150299072,0.7957295167169373,3.217605614765613,4.01333513148255,0.5807055307686201
m3fd,00177,1024,768,2.309511301000043,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00177.png,results/h5_str/none/m3fd/m3fd/00177_rgb.png,6.9582086570681625,14.822727139238399,9.281572341918945,0.6895519337748417,3.263689943789804,3.9532418775646456,0.610611377080186
m3fd,00196,1024,768,2.3560959420000245,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00196.png,results/h5_str/none/m3fd/m3fd/00196_rgb.png,6.877255582789223,17.215758527701528,10.743743896484375,0.49438422473446136,3.888983637019889,4.38336786175435,0.6481719561506942
m3fd,00202,1024,768,2.3455907269999443,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00202.png,results/h5_str/none/m3fd/m3fd/00202_rgb.png,6.707342531870475,13.916831780607513,8.145670890808105,0.7203488838033222,3.4666238173745323,4.186972701177854,0.6045391099830244
m3fd,00210,1024,768,2.3612206399999423,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00210.png,results/h5_str/none/m3fd/m3fd/00210_rgb.png,6.697384063553174,13.444857710594443,7.501511573791504,0.7659422417565664,2.999445396908678,3.7653876386652447,0.5674758456465872
m3fd,00215,1024,768,2.381960833999983,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00215.png,results/h5_str/none/m3fd/m3fd/00215_rgb.png,6.722394588030804,13.554064265327257,7.697277545928955,0.6862160757396376,3.2271736144393772,3.913389690179015,0.5689188959209006
m3fd,00232,1024,768,2.3228355329999886,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00232.png,results/h5_str/none/m3fd/m3fd/00232_rgb.png,6.57892760627897,12.431405469886267,7.193716049194336,0.6614979328428777,2.76812477570883,3.4296227085517077,0.568962343266443
m3fd,00242,1024,768,2.3700004899999385,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00242.png,results/h5_str/none/m3fd/m3fd/00242_rgb.png,6.647029965568761,11.265775444321315,5.867891788482666,0.8054488398839048,2.6526514847024876,3.4581003245863924,0.5442970911706523
m3fd,00255,1024,768,2.3234444790000452,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00255.png,results/h5_str/none/m3fd/m3fd/00255_rgb.png,6.386366139067595,8.557532968108395,4.12699556350708,0.9202453235962024,3.522523940261994,4.442769263858197,0.5502007333263994
m3fd,00274,1024,768,2.3639934999999923,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00274.png,results/h5_str/none/m3fd/m3fd/00274_rgb.png,6.394685905617216,8.88658923416577,4.495243549346924,0.8826593386608674,3.298083699983812,4.180743038644679,0.5377591342608489
m3fd,00284,1024,768,2.360433859000068,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00284.png,results/h5_str/none/m3fd/m3fd/00284_rgb.png,6.392939819434695,8.772621234821994,4.4141645431518555,0.9387501254108572,3.190454327613917,4.129204453024774,0.5258565194864298
m3fd,00290,1024,768,2.3296541469999283,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00290.png,results/h5_str/none/m3fd/m3fd/00290_rgb.png,6.37256150106669,8.694164830082316,4.4023566246032715,0.8984536015403484,3.091583939756995,3.990037541297343,0.5311878253700154
m3fd,00306,1024,768,2.3699980599999435,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00306.png,results/h5_str/none/m3fd/m3fd/00306_rgb.png,6.329556246136662,8.579741337492155,4.38441801071167,0.8765255778357296,2.9284112755392075,3.804936853374937,0.5166159933263845
m3fd,00320,1024,768,2.3268299789999674,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00320.png,results/h5_str/none/m3fd/m3fd/00320_rgb.png,6.487139891392305,10.258473463610224,5.520412445068359,0.8549352041796484,3.637109536805373,4.492044740985022,0.5687708232561237
m3fd,00325,1024,768,2.368053226000029,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00325.png,results/h5_str/none/m3fd/m3fd/00325_rgb.png,7.234499630170937,5.327890391258213,3.4149978160858154,3.1881918324154768,0.8102847320984986,3.9984765645139753,0.43086351115433835
m3fd,00334,1024,768,2.37632359600002,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00334.png,results/h5_str/none/m3fd/m3fd/00334_rgb.png,7.288884504774243,4.8567592505683015,2.844304323196411,3.661267973678682,1.229530355416583,4.890798329095265,0.4424351601571086
m3fd,00339,1024,768,2.3593346420000216,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00339.png,results/h5_str/none/m3fd/m3fd/00339_rgb.png,6.877017161627813,6.776923787477712,3.2492191791534424,1.8427536841906318,1.0321031705331243,2.874856854723756,0.4726879547203448
m3fd,00349,1024,768,2.375560838999945,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00349.png,results/h5_str/none/m3fd/m3fd/00349_rgb.png,6.257757244928358,8.643615516352142,4.257284164428711,0.5421873925731632,1.723218120484447,2.26540551305761,0.4555016126043271
m3fd,00353,1024,768,2.3592088460000014,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00353.png,results/h5_str/none/m3fd/m3fd/00353_rgb.png,6.2515921169161155,8.644098805897565,4.263332366943359,0.5359200586594489,1.7400209630116903,2.275941021671139,0.4575880804196025
m3fd,00370,1024,768,2.358675087999927,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00370.png,results/h5_str/none/m3fd/m3fd/00370_rgb.png,6.27134041704501,8.872410516887493,4.428430557250977,0.5222006655469837,1.8512206843332562,2.37342134988024,0.4670094137501547
m3fd,00385,1024,768,2.2134406220000074,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00385.png,results/h5_str/none/m3fd/m3fd/00385_rgb.png,6.210910759318338,8.00622465304034,4.089870452880859,0.585966192151291,1.6453931948277825,2.2313593869790735,0.44605042634753567
m3fd,00386,1024,768,2.385182117999989,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00386.png,results/h5_str/none/m3fd/m3fd/00386_rgb.png,6.78121179158498,10.7527331416972,5.334899425506592,1.1624707109962937,1.6489004022046394,2.8113711132009334,0.5431064598222755
m3fd,00388,1024,768,2.363020989000006,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00388.png,results/h5_str/none/m3fd/m3fd/00388_rgb.png,6.5864032176093215,7.956263323749028,3.8838295936584473,1.0567769901681965,1.4771409146836938,2.53391790485189,0.4985481829755443
m3fd,00389,1024,768,2.405431938999982,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00389.png,results/h5_str/none/m3fd/m3fd/00389_rgb.png,6.722369458812027,8.908541899446607,4.36367130279541,1.2390078514488116,1.6627096671557475,2.901717518604559,0.5137955968797294
m3fd,00390,1024,768,2.3804679140000644,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00390.png,results/h5_str/none/m3fd/m3fd/00390_rgb.png,6.778286293841835,9.349001167953375,4.381263256072998,1.4845433193789022,1.5101958700500775,2.9947391894289797,0.5159019040526105
m3fd,00400,1024,768,2.3710251489999337,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00400.png,results/h5_str/none/m3fd/m3fd/00400_rgb.png,6.801885837534768,13.655820059075136,7.29626989364624,0.910028368807379,1.675199874206548,2.585228243013927,0.6055845264736279
m3fd,00405,1024,768,2.3759286420000763,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00405.png,results/h5_str/none/m3fd/m3fd/00405_rgb.png,6.70694072097427,13.49737114797483,6.388953685760498,1.0499885278954502,1.7731785235346667,2.823167051430117,0.5824951251920188
m3fd,00409,1024,768,2.3589501200000313,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00409.png,results/h5_str/none/m3fd/m3fd/00409_rgb.png,6.905411390150228,11.762555458695422,5.620965480804443,1.5045529203313244,1.7872669671295243,3.2918198874608486,0.5509371928181894
m3fd,00419,1024,768,2.3689188719999947,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00419.png,results/h5_str/none/m3fd/m3fd/00419_rgb.png,7.037562319504218,10.913552957100812,5.429283142089844,1.8347471286193386,0.9475603778872819,2.7823075065066205,0.5093011439263022
m3fd,00421,1024,768,2.372633090000022,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00421.png,results/h5_str/none/m3fd/m3fd/00421_rgb.png,6.7523449024004005,11.501475436975593,5.6300153732299805,1.2122341351322554,2.123126463048616,3.3353605981808716,0.5307613234829318
m3fd,00434,1024,768,2.36917107499994,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00434.png,results/h5_str/none/m3fd/m3fd/00434_rgb.png,6.936708355447967,10.821416711964265,5.345862865447998,1.3075300475270897,1.9670672049231777,3.2745972524502673,0.5439528406187367
m3fd,00441,1024,768,2.3612557570000945,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00441.png,results/h5_str/none/m3fd/m3fd/00441_rgb.png,7.011307571380092,10.714727319066439,4.869764804840088,2.2651525383987616,0.9898087936584176,3.2549613320571793,0.5418629742561994
m3fd,00443,1024,768,2.3543433639999876,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00443.png,results/h5_str/none/m3fd/m3fd/00443_rgb.png,7.24941647864899,11.735091132038376,5.906617641448975,2.101853281068982,0.8370103375433353,2.9388636186123174,0.5393890756559394
m3fd,00449,1024,768,2.3450531439999622,tile507_overlap64,results/h5_str/none/m3fd/m3fd/00449.png,results/h5_str/none/m3fd/m3fd/00449_rgb.png,6.9729807602105325,8.679183230598358,3.910738706588745,2.2626802151290404,1.0561528202606845,3.3188330353897246,0.5120130874186636
