scope,seeds,metric,n_pairs,mean_delta,median_delta,boot_ci_lo,boot_ci_hi,rank_biserial,w_plus,w_minus,p_wilcoxon,p_holm_pooled6,p_holm_18
pooled,3,EN,900,0.014197,0.018949,0.008499,0.020229,0.265414,256531.0,148919.0,5.290e-12,5.290e-12,
pooled,3,SF,900,-0.036553,-0.037909,-0.040469,-0.032534,-0.608213,79425.0,326025.0,2.819e-56,7.955e-56,
pooled,3,AG,900,-0.098775,-0.096886,-0.102436,-0.095014,-0.980698,3913.0,401537.0,2.793e-143,1.396e-142,
pooled,3,MI,900,0.632657,0.604406,0.611722,0.65349,0.994752,404386.0,1064.0,2.336e-147,1.401e-146,
pooled,3,QABF,900,0.006075,0.005419,0.005605,0.006557,0.780787,361010.0,44440.0,1.542e-91,6.169e-91,
pooled,3,VIF,900,0.004455,0.004241,0.00393,0.004962,0.608361,326055.0,79395.0,2.652e-56,7.955e-56,
s42,1,EN,300,0.009865,0.014617,-0.000963,0.020483,0.184319,26736.0,18414.0,5.656e-03,,1.131e-02
s42,1,SF,300,-0.087914,-0.083078,-0.092942,-0.083285,-0.998228,40.0,45110.0,9.082e-51,,1.362e-49
s42,1,AG,300,-0.136555,-0.124265,-0.14275,-0.130151,-0.999956,1.0,45149.0,6.145e-51,,1.106e-49
s42,1,MI,300,0.654899,0.635389,0.617451,0.692448,0.987375,44865.0,285.0,1.041e-49,,1.458e-48
s42,1,QABF,300,0.011015,0.010533,0.010221,0.011802,0.968594,44441.0,709.0,6.663e-48,,7.995e-47
s42,1,VIF,300,0.005791,0.00536,0.004798,0.00678,0.723322,38904.0,6246.0,1.810e-27,,1.810e-26
s123,1,EN,300,0.017283,0.020236,0.007,0.027171,0.319823,29795.0,15355.0,1.576e-06,,6.305e-06
s123,1,SF,300,-0.025505,-0.025558,-0.031348,-0.019667,-0.523234,10763.0,34387.0,3.997e-15,,1.998e-14
s123,1,AG,300,-0.091134,-0.091445,-0.096515,-0.08594,-0.983212,379.0,44771.0,2.636e-49,,3.426e-48
s123,1,MI,300,0.650322,0.627257,0.614288,0.688926,0.999291,45134.0,16.0,7.142e-51,,1.214e-49
s123,1,QABF,300,0.003754,0.003983,0.003048,0.004437,0.634153,36891.0,8259.0,1.728e-21,,1.556e-20
s123,1,VIF,300,0.003678,0.003829,0.002809,0.004513,0.528726,34511.0,10639.0,2.063e-15,,1.238e-14
s3407,1,EN,300,0.015443,0.020549,0.005973,0.025054,0.288948,29098.0,16052.0,1.439e-05,,4.317e-05
s3407,1,SF,300,0.00376,0.005447,-0.001827,0.00942,0.085449,24504.0,20646.0,1.996e-01,,1.996e-01
s3407,1,AG,300,-0.068636,-0.073899,-0.074184,-0.063301,-0.939579,1364.0,43786.0,3.517e-45,,3.869e-44
s3407,1,MI,300,0.592751,0.555615,0.558279,0.628348,0.998627,45119.0,31.0,8.300e-51,,1.328e-49
s3407,1,QABF,300,0.003455,0.003595,0.002825,0.004073,0.607176,36282.0,8868.0,7.851e-20,,6.281e-19
s3407,1,VIF,300,0.003896,0.003729,0.00306,0.004719,0.562082,35264.0,9886.0,3.221e-17,,2.255e-16
