scope,seeds,metric,n_pairs,mean_delta,median_delta,boot_ci_lo,boot_ci_hi,rank_biserial,w_plus,w_minus,p_wilcoxon,p_holm_pooled6,p_holm_18
pooled,3,EN,900,0.017398,0.022724,0.011383,0.023486,0.318313,267255.0,138195.0,1.314e-16,1.314e-16,
pooled,3,SF,900,-0.071262,-0.064992,-0.075513,-0.066965,-0.908216,18607.0,386843.0,3.617e-123,1.085e-122,
pooled,3,AG,900,-0.129502,-0.118677,-0.133507,-0.125437,-0.996488,712.0,404738.0,7.255e-148,4.353e-147,
pooled,3,MI,900,0.706594,0.706626,0.68379,0.729459,0.994214,404277.0,1173.0,3.354e-147,1.677e-146,
pooled,3,QABF,900,0.011258,0.010966,0.010754,0.011772,0.960977,397539.0,7911.0,1.177e-137,4.707e-137,
pooled,3,VIF,900,0.007343,0.007277,0.006778,0.007899,0.808139,366555.0,38895.0,6.302e-98,1.260e-97,
s42,1,EN,300,0.012997,0.017573,0.000408,0.02502,0.226622,27691.0,17459.0,6.685e-04,,6.685e-04
s42,1,SF,300,-0.126084,-0.120187,-0.133748,-0.118671,-0.997209,63.0,45087.0,1.143e-50,,1.601e-49
s42,1,AG,300,-0.162752,-0.160644,-0.170594,-0.154718,-0.998184,41.0,45109.0,9.174e-51,,1.382e-49
s42,1,MI,300,0.726645,0.734332,0.683986,0.769805,0.985914,44832.0,318.0,1.443e-49,,1.732e-48
s42,1,QABF,300,0.015461,0.015146,0.014569,0.016375,0.978782,44671.0,479.0,7.050e-49,,7.755e-48
s42,1,VIF,300,0.008692,0.008962,0.007518,0.009856,0.815858,40993.0,4157.0,1.721e-34,,1.032e-33
s123,1,EN,300,0.015302,0.020286,0.005015,0.025059,0.321063,29823.0,15327.0,1.436e-06,,2.872e-06
s123,1,SF,300,-0.049567,-0.049852,-0.055467,-0.043947,-0.843056,3543.0,41607.0,1.032e-36,,8.253e-36
s123,1,AG,300,-0.124552,-0.118677,-0.130441,-0.11868,-0.99845,35.0,45115.0,8.639e-51,,1.382e-49
s123,1,MI,300,0.696425,0.700035,0.65836,0.73551,0.998981,45127.0,23.0,7.661e-51,,1.379e-49
s123,1,QABF,300,0.0097,0.009607,0.008941,0.010472,0.945382,43917.0,1233.0,1.019e-45,,1.019e-44
s123,1,VIF,300,0.006824,0.006802,0.005962,0.007688,0.825604,41213.0,3937.0,2.804e-35,,1.963e-34
s3407,1,EN,300,0.023895,0.027809,0.013765,0.033727,0.410011,31831.0,13319.0,7.494e-10,,2.248e-09
s3407,1,SF,300,-0.038134,-0.038384,-0.043225,-0.033103,-0.807575,4344.0,40806.0,7.911e-34,,3.956e-33
s3407,1,AG,300,-0.101201,-0.099069,-0.106589,-0.095977,-0.991938,182.0,44968.0,3.746e-50,,4.870e-49
s3407,1,MI,300,0.696712,0.696081,0.658485,0.736342,0.998804,45123.0,27.0,7.974e-51,,1.379e-49
s3407,1,QABF,300,0.008612,0.008652,0.007894,0.009319,0.937187,43732.0,1418.0,5.848e-45,,5.263e-44
s3407,1,VIF,300,0.006512,0.006469,0.005629,0.007416,0.783566,40264.0,4886.0,6.036e-32,,2.414e-31
