bin_left,bin_right,count_M
0.0000,0.0100,36999853
0.0100,0.0200,115311999
0.0200,0.0300,25933838
0.0300,0.0400,12516107
0.0400,0.0500,7717534
0.0500,0.0600,5191384
0.0600,0.0700,3658991
0.0700,0.0800,2750095
0.0800,0.0900,2146746
0.0900,0.1000,1703102
0.1000,0.1100,1336226
0.1100,0.1200,1119547
0.1200,0.1300,910074
0.1300,0.1400,781775
0.1400,0.1500,652448
0.1500,0.1600,565748
0.1600,0.1700,504386
0.1700,0.1800,439222
0.1800,0.1900,388743
0.1900,0.2000,332932
0.2000,0.2100,283565
0.2100,0.2200,258119
0.2200,0.2300,216483
0.2300,0.2400,190745
0.2400,0.2500,176127
0.2500,0.2600,155257
0.2600,0.2700,138189
0.2700,0.2800,126080
0.2800,0.2900,116490
0.2900,0.3000,103826
0.3000,0.3100,94569
0.3100,0.3200,87551
0.3200,0.3300,79405
0.3300,0.3400,71669
0.3400,0.3500,65944
0.3500,0.3600,61559
0.3600,0.3700,55676
0.3700,0.3800,51817
0.3800,0.3900,47156
0.3900,0.4000,44495
0.4000,0.4100,39850
0.4100,0.4200,38136
0.4200,0.4300,34341
0.4300,0.4400,32393
0.4400,0.4500,30120
0.4500,0.4600,28189
0.4600,0.4700,25816
0.4700,0.4800,24434
0.4800,0.4900,23009
0.4900,0.5000,20793
0.5000,0.5100,20982
0.5100,0.5200,19024
0.5200,0.5300,18501
0.5300,0.5400,17007
0.5400,0.5500,16879
0.5500,0.5600,15317
0.5600,0.5700,15277
0.5700,0.5800,13986
0.5800,0.5900,13928
0.5900,0.6000,12594
0.6000,0.6100,12663
0.6100,0.6200,11302
0.6200,0.6300,11192
0.6300,0.6400,10379
0.6400,0.6500,10578
0.6500,0.6600,9772
0.6600,0.6700,9725
0.6700,0.6800,8957
0.6800,0.6900,8626
0.6900,0.7000,8059
0.7000,0.7100,7913
0.7100,0.7200,7372
0.7200,0.7300,7158
0.7300,0.7400,6425
0.7400,0.7500,5943
0.7500,0.7600,6377
0.7600,0.7700,5929
0.7700,0.7800,5976
0.7800,0.7900,5402
0.7900,0.8000,5557
0.8000,0.8100,5200
0.8100,0.8200,5229
0.8200,0.8300,4789
0.8300,0.8400,4774
0.8400,0.8500,5046
0.8500,0.8600,4736
0.8600,0.8700,4014
0.8700,0.8800,3968
0.8800,0.8900,3408
0.8900,0.9000,3275
0.9000,0.9100,2727
0.9100,0.9200,2512
0.9200,0.9300,2238
0.9300,0.9400,2597
0.9400,0.9500,3333
0.9500,0.9600,4100
0.9600,0.9700,8236
0.9700,0.9800,14222
0.9800,0.9900,59822
0.9900,1.0000,201749
