bin_left,bin_right,count_all,count_acts,count_acts_top,count_prior_top,frac_all,frac_acts
0.0000,0.0100,171218792,371371,17848047,54295998,0.76315222,0.62916618
0.0100,0.0200,2305771,2585,68989,881488,0.01027723,0.00437943
0.0200,0.0300,1330458,1473,38873,512860,0.00593008,0.00249551
0.0300,0.0400,931131,1116,26710,360544,0.00415021,0.00189070
0.0400,0.0500,728069,858,20764,281107,0.00324513,0.00145360
0.0500,0.0600,591995,688,16801,228481,0.00263863,0.00116559
0.0600,0.0700,504894,563,14018,194818,0.00225040,0.00095382
0.0700,0.0800,442216,465,12326,170289,0.00197103,0.00078779
0.0800,0.0900,391885,482,10736,151162,0.00174670,0.00081659
0.0900,0.1000,355227,406,9712,136993,0.00158331,0.00068783
0.1000,0.1100,317526,361,8541,122840,0.00141527,0.00061160
0.1100,0.1200,301312,369,8114,116857,0.00134300,0.00062515
0.1200,0.1300,269599,339,7199,104292,0.00120165,0.00057432
0.1300,0.1400,256087,327,6756,98464,0.00114142,0.00055399
0.1400,0.1500,239962,308,6466,92921,0.00106955,0.00052180
0.1500,0.1600,226361,271,6008,87323,0.00100893,0.00045912
0.1600,0.1700,218871,264,5802,84405,0.00097555,0.00044726
0.1700,0.1800,204420,245,5410,78983,0.00091114,0.00041507
0.1800,0.1900,196763,245,5291,76044,0.00087701,0.00041507
0.1900,0.2000,187910,220,4967,72465,0.00083755,0.00037272
0.2000,0.2100,179699,233,4885,69084,0.00080095,0.00039474
0.2100,0.2200,175978,217,4622,67914,0.00078436,0.00036764
0.2200,0.2300,165850,211,4371,63612,0.00073922,0.00035747
0.2300,0.2400,160631,197,4230,61907,0.00071596,0.00033375
0.2400,0.2500,157890,187,4133,61252,0.00070374,0.00031681
0.2500,0.2600,152725,180,4035,59203,0.00068072,0.00030495
0.2600,0.2700,146785,194,3909,56769,0.00065425,0.00032867
0.2700,0.2800,147325,190,3907,56826,0.00065665,0.00032189
0.2800,0.2900,141648,197,3788,54740,0.00063135,0.00033375
0.2900,0.3000,140466,180,3532,54332,0.00062608,0.00030495
0.3000,0.3100,134725,165,3492,52079,0.00060049,0.00027954
0.3100,0.3200,129724,183,3429,50305,0.00057820,0.00031003
0.3200,0.3300,132910,149,3324,51258,0.00059240,0.00025243
0.3300,0.3400,127611,159,3313,49220,0.00056878,0.00026937
0.3400,0.3500,122991,149,3102,47697,0.00054819,0.00025243
0.3500,0.3600,125577,188,3318,48573,0.00055972,0.00031850
0.3600,0.3700,122095,161,3167,47325,0.00054420,0.00027276
0.3700,0.3800,121200,147,3153,46689,0.00054021,0.00024904
0.3800,0.3900,121697,145,3187,47409,0.00054242,0.00024565
0.3900,0.4000,114844,109,2937,44525,0.00051188,0.00018466
0.4000,0.4100,116796,149,3026,45307,0.00052058,0.00025243
0.4100,0.4200,115044,148,2963,44829,0.00051277,0.00025074
0.4200,0.4300,115128,125,3021,44664,0.00051315,0.00021177
0.4300,0.4400,114228,153,2905,44353,0.00050913,0.00025921
0.4400,0.4500,112170,172,2925,43389,0.00049996,0.00029140
0.4500,0.4600,113130,147,2981,44247,0.00050424,0.00024904
0.4600,0.4700,108081,130,2703,42178,0.00048174,0.00022024
0.4700,0.4800,113048,155,2934,43986,0.00050387,0.00026260
0.4800,0.4900,107720,134,2569,41981,0.00048013,0.00022702
0.4900,0.5000,107032,136,2674,41419,0.00047706,0.00023041
0.5000,0.5100,113612,137,2908,44227,0.00050639,0.00023210
0.5100,0.5200,106082,125,2677,41422,0.00047283,0.00021177
0.5200,0.5300,111903,164,2871,43437,0.00049877,0.00027784
0.5300,0.5400,106422,134,2681,41045,0.00047434,0.00022702
0.5400,0.5500,110732,136,2840,43100,0.00049355,0.00023041
0.5500,0.5600,110286,137,2785,42980,0.00049156,0.00023210
0.5600,0.5700,110468,134,2808,43069,0.00049238,0.00022702
0.5700,0.5800,106279,142,2740,41282,0.00047370,0.00024057
0.5800,0.5900,114828,150,3034,44875,0.00051181,0.00025413
0.5900,0.6000,108078,144,2774,42431,0.00048172,0.00024396
0.6000,0.6100,114757,153,2833,44683,0.00051149,0.00025921
0.6100,0.6200,109423,152,2837,42599,0.00048772,0.00025751
0.6200,0.6300,115088,164,2896,44883,0.00051297,0.00027784
0.6300,0.6400,112913,152,2851,44243,0.00050327,0.00025751
0.6400,0.6500,117838,146,2989,46458,0.00052522,0.00024735
0.6500,0.6600,113318,169,2915,44140,0.00050508,0.00028631
0.6600,0.6700,119797,143,3038,46991,0.00053396,0.00024227
0.6700,0.6800,117858,167,2991,46187,0.00052531,0.00028293
0.6800,0.6900,127132,186,3350,49816,0.00056665,0.00031512
0.6900,0.7000,118242,168,3078,46100,0.00052703,0.00028462
0.7000,0.7100,127337,169,3189,49748,0.00056756,0.00028631
0.7100,0.7200,125854,190,3365,49627,0.00056095,0.00032189
0.7200,0.7300,131691,184,3401,51854,0.00058697,0.00031173
0.7300,0.7400,130772,187,3356,50939,0.00058287,0.00031681
0.7400,0.7500,130997,184,3248,51373,0.00058388,0.00031173
0.7500,0.7600,143985,214,3627,56735,0.00064177,0.00036255
0.7600,0.7700,140104,172,3541,55089,0.00062447,0.00029140
0.7700,0.7800,149884,218,3904,59140,0.00066806,0.00036933
0.7800,0.7900,145403,222,3641,56828,0.00064809,0.00037611
0.7900,0.8000,158724,206,3828,62082,0.00070746,0.00034900
0.8000,0.8100,157718,235,4097,62065,0.00070298,0.00039813
0.8100,0.8200,172142,237,4347,67613,0.00076727,0.00040152
0.8200,0.8300,170549,258,4356,67304,0.00076017,0.00043710
0.8300,0.8400,187125,250,4710,73434,0.00083405,0.00042354
0.8400,0.8500,186115,242,4594,73502,0.00082955,0.00040999
0.8500,0.8600,204031,280,5006,80203,0.00090940,0.00047437
0.8600,0.8700,210588,327,5229,82889,0.00093863,0.00055399
0.8700,0.8800,231561,344,5793,91125,0.00103211,0.00058280
0.8800,0.8900,232869,330,5737,92219,0.00103794,0.00055908
0.8900,0.9000,268469,388,6520,105797,0.00119661,0.00065734
0.9000,0.9100,284870,407,7021,112264,0.00126972,0.00068953
0.9100,0.9200,314891,458,7803,123463,0.00140352,0.00077593
0.9200,0.9300,338986,515,8469,133532,0.00151092,0.00087250
0.9300,0.9400,410856,606,10049,161648,0.00183126,0.00102667
0.9400,0.9500,446959,669,11163,175723,0.00199217,0.00113340
0.9500,0.9600,562324,872,13994,221332,0.00250638,0.00147732
0.9600,0.9700,681178,1067,17098,267655,0.00303613,0.00180768
0.9700,0.9800,986497,1485,24117,385865,0.00439699,0.00251584
0.9800,0.9900,1551373,2505,38435,605162,0.00691474,0.00424390
0.9900,1.0000,27944423,185889,3956878,12230002,0.12455320,0.31492785
