bin_left,bin_right,count_all,count_conflict,frac_all,frac_conflict
0.0000,0.0100,1913559,625974,0.81107203,0.78003671
0.0100,0.0200,17143,6737,0.00726615,0.00839509
0.0200,0.0300,10045,3962,0.00425763,0.00493711
0.0300,0.0400,7126,2857,0.00302039,0.00356016
0.0400,0.0500,5408,2128,0.00229221,0.00265174
0.0500,0.0600,4398,1777,0.00186412,0.00221435
0.0600,0.0700,3780,1435,0.00160217,0.00178818
0.0700,0.0800,3336,1281,0.00141398,0.00159628
0.0800,0.0900,2963,1194,0.00125588,0.00148786
0.0900,0.1000,2623,1061,0.00111177,0.00132213
0.1000,0.1100,2314,968,0.00098080,0.00120624
0.1100,0.1200,2218,928,0.00094011,0.00115640
0.1200,0.1300,1985,787,0.00084135,0.00098069
0.1300,0.1400,1936,789,0.00082058,0.00098319
0.1400,0.1500,1834,775,0.00077735,0.00096574
0.1500,0.1600,1749,676,0.00074132,0.00084237
0.1600,0.1700,1648,689,0.00069851,0.00085857
0.1700,0.1800,1507,597,0.00063875,0.00074393
0.1800,0.1900,1508,584,0.00063917,0.00072773
0.1900,0.2000,1481,577,0.00062773,0.00071901
0.2000,0.2100,1370,536,0.00058068,0.00066792
0.2100,0.2200,1281,511,0.00054296,0.00063677
0.2200,0.2300,1281,534,0.00054296,0.00066543
0.2300,0.2400,1197,479,0.00050735,0.00059689
0.2400,0.2500,1123,450,0.00047599,0.00056075
0.2500,0.2600,1135,462,0.00048108,0.00057571
0.2600,0.2700,1136,454,0.00048150,0.00056574
0.2700,0.2800,1070,431,0.00045353,0.00053708
0.2800,0.2900,1078,438,0.00045692,0.00054580
0.2900,0.3000,1028,381,0.00043572,0.00047477
0.3000,0.3100,1009,405,0.00042767,0.00050468
0.3100,0.3200,981,406,0.00041580,0.00050592
0.3200,0.3300,1016,396,0.00043064,0.00049346
0.3300,0.3400,1027,397,0.00043530,0.00049471
0.3400,0.3500,955,387,0.00040478,0.00048225
0.3500,0.3600,936,350,0.00039673,0.00043614
0.3600,0.3700,962,365,0.00040775,0.00045483
0.3700,0.3800,936,372,0.00039673,0.00046356
0.3800,0.3900,905,333,0.00038359,0.00041496
0.3900,0.4000,867,341,0.00036748,0.00042493
0.4000,0.4100,919,365,0.00038952,0.00045483
0.4100,0.4200,890,376,0.00037723,0.00046854
0.4200,0.4300,858,332,0.00036367,0.00041371
0.4300,0.4400,861,330,0.00036494,0.00041122
0.4400,0.4500,831,307,0.00035222,0.00038256
0.4500,0.4600,871,325,0.00036918,0.00040499
0.4600,0.4700,805,317,0.00034120,0.00039502
0.4700,0.4800,872,350,0.00036960,0.00043614
0.4800,0.4900,816,340,0.00034587,0.00042368
0.4900,0.5000,801,295,0.00033951,0.00036760
0.5000,0.5100,821,336,0.00034799,0.00041870
0.5100,0.5200,795,306,0.00033696,0.00038131
0.5200,0.5300,836,323,0.00035434,0.00040250
0.5300,0.5400,834,321,0.00035350,0.00040000
0.5400,0.5500,877,349,0.00037172,0.00043489
0.5500,0.5600,898,363,0.00038062,0.00045234
0.5600,0.5700,876,367,0.00037130,0.00045732
0.5700,0.5800,838,326,0.00035519,0.00040623
0.5800,0.5900,931,372,0.00039461,0.00046356
0.5900,0.6000,883,383,0.00037426,0.00047726
0.6000,0.6100,917,356,0.00038868,0.00044362
0.6100,0.6200,894,364,0.00037893,0.00045359
0.6200,0.6300,922,350,0.00039079,0.00043614
0.6300,0.6400,883,338,0.00037426,0.00042119
0.6400,0.6500,945,386,0.00040054,0.00048100
0.6500,0.6600,833,324,0.00035307,0.00040374
0.6600,0.6700,932,349,0.00039503,0.00043489
0.6700,0.6800,937,353,0.00039715,0.00043988
0.6800,0.6900,999,407,0.00042343,0.00050717
0.6900,0.7000,931,362,0.00039461,0.00045109
0.7000,0.7100,988,406,0.00041877,0.00050592
0.7100,0.7200,965,390,0.00040902,0.00048599
0.7200,0.7300,1006,384,0.00042640,0.00047851
0.7300,0.7400,1002,412,0.00042470,0.00051340
0.7400,0.7500,1027,416,0.00043530,0.00051838
0.7500,0.7600,1121,434,0.00047514,0.00054081
0.7600,0.7700,1121,454,0.00047514,0.00056574
0.7700,0.7800,1205,463,0.00051075,0.00057695
0.7800,0.7900,1178,465,0.00049930,0.00057944
0.7900,0.8000,1288,515,0.00054593,0.00064175
0.8000,0.8100,1225,494,0.00051922,0.00061558
0.8100,0.8200,1353,560,0.00057348,0.00069783
0.8200,0.8300,1299,505,0.00055059,0.00062929
0.8300,0.8400,1524,587,0.00064596,0.00073147
0.8400,0.8500,1427,534,0.00060484,0.00066543
0.8500,0.8600,1553,634,0.00065825,0.00079004
0.8600,0.8700,1582,619,0.00067054,0.00077135
0.8700,0.8800,1819,754,0.00077099,0.00093957
0.8800,0.8900,1789,713,0.00075828,0.00088848
0.8900,0.9000,2091,861,0.00088628,0.00107291
0.9000,0.9100,2206,858,0.00093502,0.00106917
0.9100,0.9200,2335,906,0.00098970,0.00112898
0.9200,0.9300,2653,1090,0.00112449,0.00135827
0.9300,0.9400,3255,1309,0.00137965,0.00163117
0.9400,0.9500,3433,1339,0.00145510,0.00166855
0.9500,0.9600,4321,1716,0.00183148,0.00213834
0.9600,0.9700,5380,2110,0.00228034,0.00262931
0.9700,0.9800,7878,3127,0.00333913,0.00389661
0.9800,0.9900,12492,4906,0.00529480,0.00611345
0.9900,1.0000,252620,99956,0.10707431,0.12455685
