sample_id,s_mean,hardness_mean,sat_frac,M_mean,M_p99,frac_M_gt_0.5,rho_M_prior
00000,0.193553,0.018698,0.940826,0.031888,0.297607,0.003974,0.283621
00011,0.208895,0.019968,0.936815,0.032324,0.300293,0.003944,0.297561
00025,0.125525,0.020008,0.936979,0.02606,0.202393,0.002649,0.30272
00031,0.151164,0.022362,0.929996,0.027967,0.223999,0.002909,0.322028
00033,0.219186,0.024986,0.920033,0.0309,0.304124,0.004412,0.278735
00042,0.111162,0.015729,0.950041,0.031696,0.272217,0.002867,0.352024
00061,0.16209,0.027885,0.911352,0.02372,0.199341,0.002749,0.24167
00071,0.138953,0.022865,0.928369,0.023521,0.196167,0.00293,0.266582
00082,0.148051,0.022106,0.929437,0.031445,0.230957,0.0027,0.356779
00097,0.072736,0.015702,0.950016,0.028814,0.233032,0.001868,0.424584
00107,0.184105,0.025506,0.917993,0.033391,0.266357,0.003202,0.347993
00112,0.084157,0.013149,0.958955,0.035455,0.320801,0.004333,0.384924
00118,0.12084,0.019451,0.93797,0.034614,0.317139,0.003988,0.324252
00147,0.147853,0.020575,0.934525,0.032987,0.289307,0.003437,0.308156
00149,0.195947,0.015538,0.951196,0.030842,0.251221,0.002768,0.268563
00150,0.154903,0.014986,0.953247,0.032414,0.259766,0.002421,0.295097
00159,0.1362,0.014677,0.953992,0.028252,0.219971,0.002351,0.28361
00177,0.094938,0.013638,0.957063,0.03172,0.236206,0.002692,0.26151
00196,0.045805,0.010991,0.965384,0.046319,0.343994,0.00354,0.322323
00202,0.073947,0.010501,0.967031,0.035549,0.271729,0.002316,0.34556
00210,0.160025,0.01734,0.944748,0.029109,0.242188,0.002621,0.250734
00215,0.141286,0.008957,0.971797,0.032984,0.264648,0.002703,0.328633
00232,0.13514,0.015141,0.951697,0.028305,0.203979,0.00227,0.345381
00242,0.222101,0.022949,0.926678,0.025821,0.210815,0.002401,0.337029
00255,0.048912,0.019254,0.940464,0.024033,0.166382,0.001429,0.464619
00274,0.051529,0.018044,0.944125,0.024322,0.171021,0.001503,0.43051
00284,0.051606,0.018122,0.942794,0.021897,0.15686,0.001489,0.363557
00290,0.057586,0.017434,0.945058,0.025984,0.175781,0.001481,0.492135
00306,0.052947,0.016588,0.948475,0.024901,0.166382,0.001528,0.478411
00320,0.044266,0.013107,0.95944,0.024613,0.175781,0.001439,0.337758
00325,0.740339,0.041658,0.866269,0.016544,0.076843,0.001954,0.452255
00334,0.838248,0.038964,0.878621,0.019207,0.087402,0.002159,0.486048
00339,0.59485,0.04076,0.871938,0.013804,0.080933,0.002098,0.233473
00349,0.040609,0.008257,0.974331,0.022978,0.137817,0.00226,0.498849
00353,0.038752,0.007884,0.9753,0.023452,0.140137,0.002238,0.514036
00370,0.041121,0.008131,0.97487,0.024241,0.149292,0.002244,0.520355
00385,0.043029,0.00811,0.974677,0.022979,0.132935,0.002197,0.509739
00386,0.343686,0.046999,0.849665,0.023175,0.178345,0.002758,0.447908
00388,0.196851,0.022414,0.929531,0.018632,0.126831,0.00194,0.344614
00389,0.295664,0.033734,0.891977,0.020286,0.147339,0.001807,0.400443
00390,0.433527,0.039128,0.876623,0.021481,0.151245,0.002099,0.462021
00400,0.284189,0.040925,0.867399,0.021097,0.157959,0.002391,0.287982
00405,0.276308,0.039006,0.87603,0.022884,0.200928,0.002716,0.366141
00409,0.298683,0.031395,0.900396,0.020129,0.137939,0.002544,0.337206
00419,0.536297,0.062403,0.800912,0.017565,0.119995,0.002846,0.349126
00421,0.1654,0.01776,0.944069,0.021056,0.13501,0.002317,0.348278
00434,0.238233,0.026195,0.920078,0.019858,0.118774,0.002407,0.348774
00441,0.568613,0.060826,0.803064,0.018091,0.122742,0.003534,0.383109
00443,0.674103,0.044994,0.861449,0.017019,0.098938,0.003035,0.375903
00449,0.53797,0.056833,0.811729,0.018171,0.109131,0.003138,0.429581
00453,0.300067,0.028962,0.907295,0.018596,0.106323,0.002514,0.419158
00461,0.284838,0.029182,0.909617,0.01891,0.114563,0.002471,0.409208
00479,0.389946,0.055316,0.823376,0.019979,0.137939,0.002656,0.337955
00489,0.501945,0.04507,0.852849,0.017136,0.117798,0.003002,0.334293
00497,0.522685,0.05072,0.840885,0.019704,0.125244,0.003094,0.365617
00512,0.168043,0.026832,0.917002,0.02342,0.132935,0.001883,0.366891
00525,0.3476,0.049706,0.841105,0.020103,0.137939,0.001853,0.334207
00527,0.276455,0.031761,0.900435,0.020983,0.139084,0.002001,0.340804
00537,0.396985,0.055466,0.824813,0.019262,0.172485,0.002787,0.356716
00555,0.371957,0.044601,0.860193,0.020198,0.18335,0.003119,0.349071
00572,0.404229,0.06138,0.80469,0.018625,0.163696,0.00243,0.361671
00587,0.668033,0.049804,0.841213,0.016706,0.112976,0.00315,0.357931
00606,0.673869,0.047724,0.849286,0.018287,0.141235,0.003184,0.404973
00621,0.703442,0.044371,0.861226,0.016491,0.133423,0.002791,0.252862
00633,0.510366,0.054492,0.826783,0.01703,0.122314,0.002218,0.367395
00643,0.657696,0.025699,0.919416,0.015636,0.093201,0.002127,0.310329
00652,0.585336,0.042652,0.864043,0.013716,0.0802,0.00201,0.284722
00653,0.597977,0.044821,0.857255,0.015838,0.088501,0.003058,0.357461
00661,0.524703,0.03662,0.885695,0.016943,0.109131,0.001967,0.343557
00671,0.299813,0.041662,0.867261,0.015696,0.105591,0.001953,0.285917
00676,0.282499,0.03086,0.903137,0.016893,0.10614,0.002213,0.32746
00677,0.424606,0.047005,0.85089,0.01772,0.105591,0.002216,0.300788
00687,0.599189,0.044061,0.860481,0.018281,0.109497,0.002696,0.386263
00697,0.558885,0.053288,0.830594,0.015231,0.10144,0.00274,0.342702
00712,0.058457,0.011468,0.963735,0.022175,0.104309,0.00214,0.521766
00716,0.063125,0.017074,0.94556,0.022023,0.090759,0.002018,0.620669
00719,0.085194,0.01002,0.968165,0.072035,0.375,0.003684,0.260146
00725,0.106416,0.010715,0.965898,0.069776,0.367188,0.003568,0.262756
00726,0.110347,0.010106,0.968016,0.071238,0.375488,0.003836,0.265802
00738,0.118927,0.013387,0.957442,0.048835,0.316406,0.002787,0.368636
00760,0.091512,0.013784,0.955971,0.042722,0.300781,0.003185,0.293774
00762,0.079218,0.011783,0.962482,0.046258,0.311768,0.003502,0.319802
00769,0.081628,0.011362,0.963957,0.04366,0.310059,0.003557,0.325233
00787,0.224608,0.018574,0.941146,0.03349,0.116333,0.002536,0.563748
00800,0.19397,0.017119,0.945633,0.037584,0.151001,0.002692,0.536419
00801,0.006342,0.001577,0.995305,0.03579,0.161865,0.001753,0.563816
00805,0.006128,0.001878,0.994445,0.028505,0.125244,0.001732,0.476923
00818,0.005824,0.001457,0.995834,0.029365,0.127686,0.001741,0.489595
00825,0.406271,0.025481,0.92063,0.019156,0.145142,0.002183,0.314307
00826,0.464718,0.032479,0.897069,0.019417,0.160278,0.002597,0.343124
00829,0.461016,0.038471,0.877346,0.018925,0.154541,0.002594,0.338423
